"phrase","definition","example","example_translation","context_type"
"I'm flattered","受稱讚或邀請時表示感到受寵若驚","When they asked me to lead the ceremony, I said, 'I'm flattered.'","他們邀請我主持典禮時，我說：『我真是受寵若驚。』","B1"
"What about you","把相同問題轉問對方，詢問其情況或看法","'I prefer tea. What about you?' Lina asked her new roommate.","莉娜問新室友：『我比較喜歡茶，你呢？』","A1"
"So far so good","（口語）表示截至目前一切順利","'How's the renovation going?' 'So far so good—we're on schedule.'","『翻修進行得如何？』『目前一切順利，進度也正常。』","B1"
"Are you awake","詢問對方是否醒著或仍清醒","Hearing thunder at midnight, Finn whispered, 'Are you awake?'","半夜聽見雷聲，芬恩小聲問：『你醒著嗎？』","A1"
"You finally got up","表示對方終於起床，可能帶打趣或不耐","When Noah entered the kitchen at noon, Mum laughed, 'You finally got up.'","諾亞中午走進廚房時，媽媽笑說：『你終於起床了。』","A2"
"I'm heading out","（口語）表示自己正要出門或離開","Putting on her coat, Dana called, 'I'm heading out—do you need anything?'","黛娜穿上外套喊道：『我要出門了，你需要什麼嗎？』","A2"
"It's pouring","（口語）表示雨下得非常大","Ravi looked through the shop window and said, 'It's pouring outside.'","拉維從店面窗戶往外看，說：『外面正下著傾盆大雨。』","A2"
"Get in the car","要求對方上車，語氣直接","As hail began to fall, Dad shouted, 'Get in the car now.'","冰雹開始落下時，爸爸喊道：『快上車。』","A1"
"Buckle up","提醒或要求對方繫好安全帶","Before leaving the driveway, Aunt May said, 'Buckle up, everyone.'","車子駛離車道前，梅阿姨說：『大家繫好安全帶。』","A1"
"Don't be picky","勸對方別太挑剔，常用於食物或選擇","At dinner, Dad said, 'Don't be picky; try one bite of the beans.'","晚餐時，爸爸說：『別挑食，豆子至少吃一口。』","A2"
"Finish your food","要求對方把自己的食物吃完","Before dessert, Mum reminded us, 'Finish your food first.'","上甜點前，媽媽提醒我們：『先把飯吃完。』","A1"
"I got a call","表示自己接到一通電話","During lunch, Rosa said, 'I got a call from the clinic about my results.'","午餐時，蘿莎說：『我接到診所打來談檢查結果的電話。』","A1"
"Who called you","詢問剛才是哪個人打電話給對方","When Eli returned to the table, his partner asked, 'Who called you?'","伊萊回到桌旁時，伴侶問：『剛才誰打給你？』","A1"
"How much is this","在店裡詢問某件商品的價格","Holding up a scarf at the market, June asked, 'How much is this?'","君在市場拿起一條圍巾問：『這個多少錢？』","A1"
"Any discount","（簡短口語）詢問商品是否可以打折","Buying two lamps, Omar asked the seller, 'Any discount if I take both?'","奧瑪買兩盞燈時問賣家：『兩個都買有折扣嗎？』","A2"
"Too expensive","（簡短口語）表示價格高得難以接受","After seeing the hotel rate, Kim shook her head: 'Too expensive for one night.'","金看到旅館房價後搖頭說：『住一晚太貴了。』","A1"
"Good deal","（口語）表示價格划算或協議令人滿意","When the seller included free delivery, I said, 'Good deal—I'll take it.'","賣家答應免費配送時，我說：『很划算，我買了。』","A2"
"Anything else","詢問對方是否還需要其他東西或服務","After packing the medicine, the pharmacist asked, 'Anything else today?'","藥師裝好藥後問：『今天還需要別的嗎？』","A1"
"That's all","表示事情到此為止，或自己不再需要其他東西","At the bakery, I paid for two rolls and said, 'That's all, thank you.'","在麵包店裡，我買了兩個餐包後說：『就這些，謝謝。』","A1"
"Just looking","在店裡表示只是看看，目前不需要協助","When the clerk offered help, Nia smiled and said, 'Just looking, thanks.'","店員上前協助時，妮雅笑說：『我只是看看，謝謝。』","A1"
"Next time","表示某事留待下次，或提醒下次要改進","When the café was full, Leo said, 'Next time, let's reserve a table.'","咖啡館客滿時，里歐說：『下次我們先訂位吧。』","A1"
"Cash only","表示店家只收現金，不接受其他付款方式","The market vendor pointed to a sign and said, 'Cash only, please.'","市場攤販指著告示說：『只收現金。』","A1"
"Keep the change","付款時表示零錢不用找回","I handed the driver a ten and said, 'Keep the change.'","我遞給司機十元，說：『零錢不用找了。』","A2"
"Am I free to go","詢問自己是否可以離開","After answering the officer's questions, Priya asked, 'Am I free to go?'","回答完警員的問題後，普莉雅問：『我可以走了嗎？』","A2"
"Say again","（口語）沒聽清楚時請對方再說一次","The announcement was muffled, so Jo leaned closer and asked, 'Say again?'","廣播聲含糊不清，喬靠近問：『可以再說一次嗎？』","A2"
"Come to the point","要求對方直接說重點，不要繞圈子","After ten minutes of excuses, the manager said, 'Come to the point.'","聽了十分鐘的藉口後，經理說：『直接說重點。』","B1"
"Never give up","鼓勵對方即使困難也不要放棄","Before the final lap, my coach called, 'Never give up—keep moving.'","最後一圈前，教練喊道：『永遠別放棄，繼續跑。』","A2"
"You got this","（口語）鼓勵對方有能力把事情做好","As Mina stepped onto the stage, her friend whispered, 'You got this.'","米娜走上舞台時，朋友低聲說：『你一定行。』","A2"
"Proud of you","（口語）表示為對方的表現感到驕傲","After my son finished his first race, I hugged him and said, 'Proud of you.'","兒子完成第一次比賽後，我抱著他說：『我以你為榮。』","A2"
"Good for you","表示替對方高興，也可能依語氣帶反諷","'I finally passed my exam.' 'Good for you—you worked hard.'","『我終於通過考試了。』『真替你高興，你很努力。』","A2"
"I'm off","（口語）表示自己要離開了","At the end of my shift, I waved and said, 'I'm off—see you tomorrow.'","下班時，我揮手說：『我要走了，明天見。』","A2"
"I'll walk you out","表示會陪對方走到門口或外面送行","When the meeting ended, Ms. Chen said, 'I'll walk you out to the lobby.'","會議結束時，陳女士說：『我陪你走到大廳。』","A2"
"Sleep tight","睡前祝對方安穩好眠","Dad tucked in the twins and whispered, 'Sleep tight, both of you.'","爸爸替雙胞胎蓋好被子，輕聲說：『你們倆好好睡。』","A1"
"Drive safely","道別時提醒對方小心駕駛","As the guests left in the rain, our host called, 'Drive safely.'","客人在雨中離開時，主人喊道：『開車小心。』","A1"
"Almost there","表示快到目的地或快完成了","Halfway up the last hill, our guide said, 'Almost there—just five more minutes.'","爬到最後一座山丘途中，嚮導說：『快到了，再五分鐘。』","A1"
"I'm getting fat","表示自己覺得體重增加或身材變胖","After his trousers felt tight, Ben frowned and said, 'I'm getting fat.'","班發現褲子變緊後皺眉說：『我正在變胖。』","A2"
"I'm on a diet","表示自己正在控制飲食以減重或保健","When cake was offered, Pia said, 'I'm on a diet, so I'll have some fruit.'","有人端上蛋糕時，皮雅說：『我在控制飲食，所以吃點水果就好。』","A2"
"I'm sick of it","（口語）表示對某事已厭煩到受不了","After another noisy night, Lou said, 'I'm sick of it—I'm calling the landlord.'","又經歷吵鬧的一夜後，盧說：『我受夠了，我要打給房東。』","B1"
"It's over now","表示不愉快的事已經結束，常用來安慰","After the storm passed, Mum hugged us and said, 'It's over now.'","暴風雨過去後，媽媽抱著我們說：『現在都結束了。』","A2"
"I appreciate it","真誠感謝對方所做的事","When my colleague covered my shift, I said, 'I appreciate it, truly.'","同事替我代班時，我說：『我真的很感謝。』","B1"
"My pleasure","禮貌回應感謝，表示很樂意幫忙","'Thank you for showing us around.' 'My pleasure,' the curator replied.","『謝謝您帶我們參觀。』『這是我的榮幸。』館員回答。","A2"
"Who did it","詢問某件事是誰做的","Seeing paint on the kitchen floor, Dad asked, 'Who did it?'","爸爸看到廚房地板上的顏料後問：『這是誰弄的？』","A1"
"No one knows","表示目前沒有人知道答案或真相","'Why did the power fail?' 'No one knows yet,' the technician said.","『為什麼停電？』『目前沒有人知道。』技師說。","A1"
"Is it yours","詢問某件東西是否屬於對方","I found a blue umbrella by the desk and asked Mia, 'Is it yours?'","我在桌旁找到一把藍傘，便問米雅：『這是你的嗎？』","A1"
"Who told you that","詢問消息來源，常帶驚訝或懷疑","When Ana mentioned my secret trip, I asked, 'Who told you that?'","安娜提到我的祕密旅行時，我問：『那是誰告訴你的？』","A2"
"I slept in","（口語）表示睡過頭或比平常晚起床","Rushing into the office, Jay apologized, 'I slept in and missed the bus.'","傑匆忙進辦公室後道歉：『我睡過頭，還錯過了公車。』","A2"
"I missed my alarm","表示沒聽到鬧鐘，因此未準時起床","When the coach asked why I was late, I said, 'I missed my alarm.'","教練問我為何遲到時，我說：『我沒聽到鬧鐘。』","A2"
"You look pale","表示對方臉色蒼白，通常帶關心","At rehearsal, Nina touched my arm and said, 'You look pale—sit down.'","彩排時，妮娜碰了碰我的手臂說：『你臉色很白，坐下吧。』","A1"
"Are you all right","關心對方是否安好或有沒有受傷","After the cyclist fell, a passerby ran over and asked, 'Are you all right?'","腳踏車騎士摔倒後，路人跑過去問：『你還好嗎？』","A1"
"I don't feel good","表示身體不舒服或心情不佳","During class, Ella told the teacher, 'I don't feel good; may I see the nurse?'","上課時，艾拉告訴老師：『我不舒服，可以去找護理師嗎？』","A1"
"I'm dizzy","表示自己感到頭暈或失去平衡感","After standing up too quickly, Rob held the table and said, 'I'm dizzy.'","羅布起身太快，扶著桌子說：『我頭暈。』","A2"
"Stay calm","安撫或提醒對方保持冷靜","When the elevator stopped, Lena said, 'Stay calm; the emergency light is on.'","電梯停住時，莉娜說：『保持冷靜，緊急照明還亮著。』","A2"
"Can I lie down","身體不適時詢問是否可以躺下休息","At the nurse's office, Tom asked, 'Can I lie down for a few minutes?'","在保健室裡，湯姆問：『我可以躺幾分鐘嗎？』","A1"
"I feel nauseous","表示自己感到噁心、想吐","On the rocking ferry, Sue closed her eyes and said, 'I feel nauseous.'","渡輪搖晃時，蘇閉上眼睛說：『我覺得很想吐。』","B1"
"I'm fine","表示自己狀況沒問題，也可能婉拒關心","After a short rest, Amir stood up and said, 'I'm fine now.'","短暫休息後，阿米爾站起來說：『我現在沒事了。』","A1"
"No worries","（口語）表示不用擔心，或回應道歉與感謝","'Sorry I returned the book late.' 'No worries; I hadn't needed it.'","『抱歉這本書還晚了。』『別在意，我之前也沒用到。』","A2"
"How do I look","詢問對方對自己外表或穿著的看法","Before the ceremony, Rosa adjusted her hat and asked, 'How do I look?'","典禮前，蘿莎調整帽子後問：『我看起來怎麼樣？』","A1"
"You look sharp","稱讚對方穿著俐落又有精神","When Dev arrived in his new suit, his sister said, 'You look sharp.'","戴夫穿著新西裝到場時，姊姊說：『你看起來真俐落。』","B1"
"On sale","表示商品正在特價出售","'On sale until Sunday,' the clerk said, pointing to the boots.","店員指著靴子說：『特價到星期日。』","A1"
"I can't afford it","表示自己的財力不足以購買或承擔某事","After checking the rent, Mina said, 'I can't afford it on my salary.'","米娜查看租金後說：『以我的薪水負擔不起。』","A2"
"I see","表示明白對方所說，也可表示正在理解","After the mechanic explained the noise, I nodded and said, 'I see.'","技師解釋異音的原因後，我點頭說：『我明白了。』","A1"
"I'm on my way","（口語）表示自己已經出發、正在前往","When Jo texted from the café, I replied, 'I'm on my way—ten minutes.'","喬從咖啡館傳訊息來時，我回覆：『我在路上了，十分鐘到。』","A1"
"Come early","請對方提早到達","The organizer told all volunteers, 'Come early so we can assign the booths.'","主辦人告訴志工：『請提早來，好讓我們分配攤位。』","A1"
"I'll be there soon","表示自己很快就會抵達","I called the babysitter from the bus and said, 'I'll be there soon.'","我在公車上打給保母說：『我很快就到。』","A1"
"You have my word","鄭重承諾對方可以相信自己","'You have my word: the roof will be done Friday,' the contractor said.","承包商說：『我向你保證，屋頂週五會完工。』","B1"
"I'm back","表示自己已經回到原處","After picking up the parcel, Dad opened the door and called, 'I'm back.'","爸爸領完包裹後打開門喊道：『我回來了。』","A1"
"You're doing great","鼓勵對方目前表現很好，繼續下去","During her first skating lesson, the coach said, 'You're doing great—keep going.'","第一次溜冰課上，教練說：『你做得很好，繼續下去。』","A1"
"Ladies first","禮讓女性先行，帶傳統禮貌語氣","At the elevator, Marco held the door and said, 'Ladies first.'","在電梯口，馬可扶著門說：『女士優先。』","A2"
"After you","禮貌請對方先走或先做","We reached the narrow doorway together, so I stepped aside and said, 'After you.'","我們同時走到狹窄門口，我便側身說：『您先請。』","A1"
"What's new","（口語）打招呼並詢問對方最近的新消息","Over coffee, Tia smiled at her old classmate and asked, 'What's new?'","喝咖啡時，蒂雅笑著問老同學：『最近有什麼新鮮事？』","A1"
"Same as usual","表示情況和平常一樣，沒有特別變化","'How busy is the shop today?' 'Same as usual,' Ken replied.","『今天店裡忙嗎？』『跟平常一樣。』肯回答。","A2"
"Turn it off","要求對方關掉電器、裝置或聲音","The baby had fallen asleep, so Mum whispered, 'Turn it off.'","寶寶睡著後，媽媽小聲說：『把它關掉。』","A1"
"I mean it","強調自己說的是真心話，不是在開玩笑","When Noor offered her spare room, she added, 'I mean it—stay as long as you need.'","努爾提出讓我住空房後補充：『我是認真的，你需要住多久都行。』","A2"
"I'm on your side","表示支持對方、與對方立場一致","Before the hearing, my colleague assured me, 'I'm on your side.'","聽證會前，同事向我保證：『我是站在你這邊的。』","A2"
"It's worth a try","表示某方法雖不保證成功，但值得嘗試","'The stain may come out with vinegar.' 'It's worth a try.'","『用醋也許能去掉污漬。』『值得一試。』","B1"
"That's not helping","指出對方的話或行動無助於改善情況","While I searched for the keys, Pat kept joking, so I said, 'That's not helping.'","我找鑰匙時，派特一直開玩笑，我便說：『這樣一點幫助也沒有。』","A2"
"I won't do it","明確表示自己拒絕做某件事","When asked to hide the safety report, Lee said, 'I won't do it.'","有人要李隱瞞安全報告時，他說：『我不會這麼做。』","A1"
"Let me guess","（口語）表示要根據線索猜測接下來的內容","Seeing flour on Ana's shirt, I smiled and said, 'Let me guess—you baked cookies.'","看到安娜衣服上的麵粉，我笑說：『讓我猜，你烤了餅乾。』","A2"
"Give me a call","請對方打電話聯絡自己","The landlord said, 'Give me a call if the heater stops again.'","房東說：『暖氣若又停了，就打電話給我。』","A1"
"Where were we","中斷後詢問剛才談到或做到哪裡","After the fire drill, the teacher reopened her notes and asked, 'Where were we?'","消防演習後，老師重新打開筆記問：『我們剛才講到哪裡？』","A2"
"I just woke up","表示自己剛剛睡醒","When my sister called at dawn, I yawned and said, 'I just woke up.'","姊姊清晨打來時，我打著哈欠說：『我剛睡醒。』","A1"
"You'll never know","表示對方可能永遠不會知道，也可鼓勵嘗試","'You'll never know unless you try, so apply for the scholarship.'","『不試試看你永遠不會知道，所以去申請獎學金吧。』","A2"
"I'll get the door","表示會去開門或替人扶門","When the bell rang during dinner, Sam stood and said, 'I'll get the door.'","晚餐時門鈴響起，山姆站起來說：『我去開門。』","A1"
"Nice day isn't it","以天氣為話題寒暄並尋求認同","Waiting at the bus stop, an elderly man smiled and said, 'Nice day isn't it?'","等公車時，一位老先生笑著說：『今天天氣不錯，對吧？』","A2"
"I think so too","表示自己也持有相同看法","'This room needs more light.' 'I think so too,' the designer replied.","『這個房間需要更多光線。』『我也這麼認為。』設計師回答。","A1"
"That's crazy","（口語）表示某事荒唐、驚人或難以置信","When Pia told us the taxi fare, Ben exclaimed, 'That's crazy.'","皮雅告訴我們計程車費時，班驚呼：『太誇張了。』","A2"
"Watch this","要對方注意看接下來的動作或展示","At the skate park, Leo called to his brother, 'Watch this!'","在滑板場，里歐朝哥哥喊道：『看好了！』","A1"
"Come closer","請對方靠近一些","The jeweler held up the tiny engraving and said, 'Come closer and look.'","珠寶商舉起細小的刻字說：『靠近一點看。』","A1"
"You scared me","表示對方突然出現或行動嚇到自己","When Nia stepped from behind the curtain, I gasped, 'You scared me.'","妮雅從窗簾後走出來時，我倒抽一口氣說：『你嚇到我了。』","A1"
"Let's take a break","提議暫停工作或活動，稍作休息","After two hours of painting, Ava said, 'Let's take a break and get some water.'","畫了兩小時後，艾娃說：『我們休息一下，去喝點水吧。』","A1"
"You're the boss","表示由對方作主，也可能帶玩笑語氣","'Should we take the scenic route?' 'You're the boss,' I told the driver.","『我們要走風景比較美的路嗎？』『你決定。』我對司機說。","A2"
"Let's get started","提議現在開始進行某件事","Once everyone had the recipe, the chef said, 'Let's get started.'","每個人都拿到食譜後，主廚說：『我們開始吧。』","A1"
"I'm here for you","表示願意支持、傾聽或陪伴對方","After Maya received bad news, her friend said, 'I'm here for you anytime.'","瑪雅收到壞消息後，朋友說：『我隨時都會陪著你。』","A2"
"Thanks anyway","對方雖未能幫上忙，仍表示感謝","When the library had no copies left, I said, 'Thanks anyway for checking.'","圖書館已無藏書時，我說：『還是謝謝你幫我查。』","A2"
"Not at all","禮貌回應感謝，表示一點也不麻煩","'Thank you for waiting.' 'Not at all; I arrived early.'","『謝謝你等我。』『一點也不麻煩，我本來就早到。』","A2"
"Let's go","提議或催促大家出發","When our train was announced, Dad picked up the bags and said, 'Let's go.'","車站廣播我們的列車時，爸爸拿起行李說：『我們走吧。』","A1"
"Have fun","祝對方玩得開心","As the children left for camp, their parents waved and called, 'Have fun!'","孩子們前往營隊時，父母揮手喊道：『玩得開心！』","A1"
"Hold on","（口語）請對方稍等，也可要人抓緊","When another call came in, the receptionist said, 'Hold on for a moment, please.'","另一通電話打進來時，接待員說：『請稍等一下。』","A2"
"Just a sec","（口語）請對方等很短的時間","Hearing a knock, Mina called from the kitchen, 'Just a sec—my hands are wet.'","聽到敲門聲，米娜從廚房喊道：『等一下，我手還是濕的。』","A1"
"It's raining","表示現在正在下雨","Before recess, the teacher looked outside and said, 'It's raining.'","下課前，老師看向窗外說：『正在下雨。』","A1"
"Can I have a look","禮貌詢問是否可以看一下某物","At the antique stall, Rui pointed to a watch and asked, 'Can I have a look?'","在古董攤前，睿指著一只手錶問：『我可以看一下嗎？』","A2"
"Let me explain it","請對方先聽自己說明某件事","When the figures seemed wrong, Dana said, 'Let me explain it step by step.'","數字看似不對時，黛娜說：『讓我一步一步說明。』","A2"
"I lost my passport","表示自己的護照遺失了","At the embassy desk, a worried traveler said, 'I lost my passport yesterday.'","在大使館櫃檯，一名焦急的旅客說：『我昨天弄丟了護照。』","A2"
"My wallet was stolen","表示自己的錢包遭人偷走","At the police station, Ken reported, 'My wallet was stolen on the train.'","在警察局裡，肯報案說：『我的錢包在火車上被偷了。』","A2"
"I'm stuffed","（口語）表示吃得非常飽，再也吃不下","After the holiday dinner, Rosa leaned back and said, 'I'm stuffed.'","節日晚餐後，蘿莎往後一靠說：『我吃得太飽了。』","A2"
"I burped","表示自己剛打了嗝，常用來解釋或道歉","At the quiet table, Max covered his mouth and said, 'Sorry, I burped.'","安靜的餐桌上，麥克斯摀住嘴說：『抱歉，我打嗝了。』","A1"
"How's the weather","詢問某地目前的天氣狀況","Before packing for Oslo, I called Eva and asked, 'How's the weather there?'","去奧斯陸前，我打給伊娃問：『那裡天氣如何？』","A1"
"Time to wake up","提醒對方該起床了","Dad opened the curtains and sang, 'Time to wake up, sleepyhead.'","爸爸拉開窗簾唱道：『小懶蟲，該起床了。』","A1"
"Set the alarm","提醒或要求對方設定鬧鐘","Before bed, Mia said, 'Set the alarm for six so we don't miss the flight.'","睡前，米雅說：『把鬧鐘設在六點，免得錯過班機。』","A1"
"Are you hungry","詢問對方是否感到飢餓","On the drive home, Mum asked the children, 'Are you hungry?'","開車回家途中，媽媽問孩子們：『你們餓了嗎？』","A1"
"Not yet","表示某事目前尚未發生或完成","'Have you ordered dessert?' 'Not yet—we're still deciding.'","『你們點甜點了嗎？』『還沒，我們還在考慮。』","A1"
"I'm hungry","表示自己餓了、想吃東西","After soccer practice, Leo opened the fridge and said, 'I'm hungry.'","足球練習後，里歐打開冰箱說：『我餓了。』","A1"
"Me too","（口語）表示自己也有相同感受或情況","'I'm ready for a break.' 'Me too,' Hana said, closing her laptop.","『我想休息一下了。』『我也是。』花奈說著闔上筆電。","A1"
"Let's eat","提議大家開始吃飯","When the last guest arrived, our host smiled and said, 'Let's eat.'","最後一位客人抵達後，主人笑著說：『我們開動吧。』","A1"
"It's on me","（口語）表示這次由自己付錢請客","When the bill arrived, Jo took it and said, 'It's on me tonight.'","帳單送來時，喬拿過來說：『今晚我請客。』","A2"
"For here","在店裡表示餐點要內用","The cashier asked where I'd eat, and I replied, 'For here, please.'","收銀員問我要在哪裡用餐，我回答：『內用，謝謝。』","A1"
"To go","在店裡表示餐點要外帶","At the noodle shop, I told the cashier, 'To go, please,' and ordered two bowls.","在麵店裡，我向收銀員說：『外帶，謝謝。』並點了兩碗。","A1"
"Bottoms up","舉杯時勸大家一口喝完，帶歡慶語氣","At the team dinner, Ravi raised his glass and called, 'Bottoms up!'","團隊聚餐時，拉維舉杯喊道：『乾杯！』","B1"
"It tastes strong","表示食物或飲品的味道很濃烈","After sipping the herbal tea, Bea said, 'It tastes strong but pleasant.'","碧雅喝了一口草藥茶後說：『味道很濃，但很順口。』","A2"
"Do you like it","詢問對方是否喜歡某物或某次體驗","After showing Sam the new logo, the designer asked, 'Do you like it?'","設計師向山姆展示新標誌後問：『你喜歡嗎？』","A1"
"It's okay","表示某事可以接受，或安慰對方不要介意","When the child spilled juice, her aunt said, 'It's okay; we can clean it up.'","孩子打翻果汁時，阿姨說：『沒關係，我們可以擦乾淨。』","A1"
"How's your day","詢問對方今天過得如何","When Amir came home, his roommate asked, 'How's your day been?'","阿米爾回家時，室友問：『你今天過得如何？』","A1"
"Not bad","（口語）表示情況還不錯，但不是極好","'How was your first pottery class?' 'Not bad—I made a small cup.'","『第一堂陶藝課怎麼樣？』『還不錯，我做了個小杯子。』","A1"
"Have a good day","道別時祝對方今天過得愉快","The bus driver handed back my pass and said, 'Have a good day.'","公車司機把票卡還給我，說：『祝你今天愉快。』","A1"
"You too","回應祝福，表示也祝對方同樣如此","'Enjoy your weekend.' 'You too,' I said as I left the office.","『週末愉快。』『你也是。』我說完便離開辦公室。","A1"
"May I be excused","禮貌詢問是否可以先離席","After finishing dinner, the child asked, 'May I be excused?'","孩子吃完晚餐後問：『我可以先離席嗎？』","A2"
"Be my guest","表示歡迎對方自行取用或做某事","'May I borrow this chair?' 'Be my guest,' the librarian replied.","『我可以借這張椅子嗎？』『請便。』圖書館員回答。","B1"
"You look tired","關心地表示對方看起來很疲倦","When I arrived after the night shift, Dad said, 'You look tired.'","我上完夜班回家時，爸爸說：『你看起來很累。』","A1"
"I'm sleepy","表示自己想睡、感到睏倦","Halfway through the late movie, Nina yawned and said, 'I'm sleepy.'","深夜電影看到一半，妮娜打哈欠說：『我想睡了。』","A1"
"That's not like you","表示對方的行為不符合平常作風","When Omar forgot her birthday, his sister said, 'That's not like you.'","奧瑪忘了她的生日後，姊姊說：『這不像平常的你。』","B1"
"Leave me alone","直接要求對方別再打擾自己","Upset after the argument, Maya closed her door and said, 'Leave me alone.'","爭吵後心情不好的瑪雅關上門說：『別來煩我。』","A2"
"Don't bug me","（口語）要求對方別再煩自己","While studying for finals, Nina shut the door and said, 'Don't bug me for an hour.'","準備期末考時，妮娜關上門說：『一小時內別來煩我。』","A2"
"How old are you","詢問對方的年齡","At the playground, one child asked the other, 'How old are you?'","在遊樂場，一個孩子問另一個：『你幾歲？』","A1"
"That's not the point","表示對方沒抓到真正重點","During the budget debate, Maya sighed, 'That's not the point—we need a safer plan.'","討論預算時，瑪雅嘆道：『重點不在那裡，我們需要更安全的方案。』","B1"
"What should I do","不確定時詢問該如何處理","After missing her train, Lia called home and asked, 'What should I do now?'","錯過火車後，莉亞打電話回家問：『我現在該怎麼辦？』","A1"
"I have no idea","（口語）表示完全不知道","'Where did the spare key go?' 'I have no idea,' Dad admitted.","『備用鑰匙去哪了？』『我完全不知道。』爸爸坦承。","A2"
"Keep it up","鼓勵對方維持目前的好表現","After seeing my improved grades, my tutor smiled and said, 'Keep it up.'","家教看到我進步的成績後，笑著說：『繼續保持。』","A2"
"Try again","鼓勵或要求對方再試一次","The lock did not open, so the clerk said, 'Try again with the key turned left.'","鎖沒有打開，店員說：『把鑰匙往左轉，再試一次。』","A1"
"I hope so","表示希望對方所說的事成真","'The rain should stop by noon.' 'I hope so—we planned a picnic.'","『中午前雨應該會停。』『希望如此，我們安排了野餐。』","A2"
"Are you busy now","詢問對方目前是否有空","Before calling about the report, Ken texted, 'Are you busy now?'","打電話討論報告前，肯傳訊息問：『你現在忙嗎？』","A1"
"I got a text","表示自己收到一則簡訊","At breakfast, Mia checked her phone and said, 'I got a text from the school.'","早餐時，米雅查看手機說：『我收到學校傳來的簡訊。』","A1"
"The toilet is clogged","告知馬桶堵塞、無法正常沖水","A guest called the front desk and said, 'The toilet is clogged in room twelve.'","房客打給櫃檯說：『十二號房的馬桶堵住了。』","A2"
"I guess so","（口語）不太確定地表示同意","'Will this box fit in the car?' 'I guess so, if we fold the seats.'","『這個箱子放得進車裡嗎？』『應該可以，把座椅收起來的話。』","A2"
"Leave it to me","表示願意接手並負責處理","When the printer jammed, Ava said, 'Leave it to me; I fixed it last week.'","印表機卡紙時，艾娃說：『交給我，上週我修過。』","A2"
"I'll handle it","表示自己會負責處理某事","The manager saw the upset customer and said, 'I'll handle it from here.'","經理看到生氣的顧客後說：『接下來由我處理。』","A2"
"You are so kind","感謝並稱讚對方十分體貼","When our neighbor brought soup, Grandma said, 'You are so kind to remember me.'","鄰居送湯來時，奶奶說：『你還惦記著我，真貼心。』","A1"
"I'll do my best","承諾會盡自己最大的努力","Before her first presentation, Zoe told her boss, 'I'll do my best.'","第一次簡報前，柔伊對老闆說：『我會盡全力。』","A2"
"Let me go","要求對方放開或准許自己離開","When the game ended, Ben told his friends, 'Let me go home; it's late.'","比賽結束後，班對朋友說：『讓我回家吧，已經很晚了。』","A1"
"Not now","（口語）表示現在不是合適時機","As the baby fell asleep, Mom whispered, 'Not now—we can talk later.'","寶寶剛睡著時，媽媽低聲說：『現在不行，我們晚點再談。』","A1"
"Maybe later","婉轉表示現在不做，之後再考慮","'Want another slice of cake?' 'Maybe later; I'm still full.'","『還要一片蛋糕嗎？』『晚點吧，我還很飽。』","A1"
"Come quick","（急切口語）叫對方趕快過來","When the puppy slipped its leash, Ella shouted, 'Come quick—I need help!'","小狗掙脫牽繩時，艾拉大喊：『快過來，我需要幫忙！』","A2"
"Right away","表示會立刻去做，不會拖延","'Please send this invoice.' 'Right away,' the assistant replied.","『請寄出這張發票。』『馬上處理。』助理回答。","A1"
"All the best","道別時祝福對方一切順利","Before Omar moved abroad, his teammates wrote, 'All the best in your new job.'","奧瑪搬到國外前，隊友寫道：『祝你新工作一切順利。』","A2"
"I'll think about it","表示需要時間考慮再答覆","The dealer offered a lower price, but I said, 'I'll think about it tonight.'","車商提出較低價格，但我說：『我今晚考慮一下。』","A2"
"Let's figure it out","提議一起找出答案或解法","When the tent would not stand, Priya said, 'Let's figure it out together.'","帳篷搭不起來時，普莉雅說：『我們一起想辦法。』","A2"
"You don't get it","（口語）表示對方沒有理解重點","Frustrated by his joke, June said, 'You don't get it—this really matters to me.'","君被他的玩笑惹惱，說：『你根本不懂，這對我真的很重要。』","B1"
"It's hard to say","表示目前很難確定或下結論","Asked when repairs would finish, the mechanic said, 'It's hard to say.'","被問到何時修好時，技師說：『現在很難說。』","A2"
"I'll do it later","表示某事會延後處理","Dad pointed at the dishes, and Leo replied, 'I'll do it later, after homework.'","爸爸指著碗盤，里歐回答：『我寫完作業再洗。』","A1"
"Do you hear that","詢問對方是否也聽到某聲音","In the quiet attic, Sam froze and whispered, 'Do you hear that scratching sound?'","安靜的閣樓裡，山姆僵住低聲問：『你有聽到抓東西的聲音嗎？』","A1"
"It's fine","表示情況沒問題或可以接受","When I apologized for the small scratch, the owner said, 'It's fine; don't worry.'","我為小刮痕道歉時，屋主說：『沒關係，別擔心。』","A1"
"All good","（口語）表示一切正常、沒有問題","The technician restarted the router and said, 'All good—the signal is back.'","技師重新啟動路由器後說：『都好了，訊號恢復了。』","A2"
"What is this","詢問眼前事物是什麼","The child held up an unfamiliar tool and asked, 'What is this used for?'","孩子舉起陌生工具問：『這是做什麼用的？』","A1"
"Watch your step","提醒對方小心腳下","As we crossed the wet kitchen floor, the chef warned, 'Watch your step.'","我們走過濕滑的廚房地板時，主廚提醒：『小心腳下。』","A2"
"Can you repeat that","沒聽清楚時請對方再說一次","The café was noisy, so I asked the server, 'Can you repeat that, please?'","咖啡館很吵，所以我請服務生：『可以再說一次嗎？』","A1"
