"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Disentangle","/ˌdɪsɪnˈtæŋɡl/","v.","disentangle, disentangles, disentangled, disentangled, disentangling","disentanglement (n.)","使脫離；理順；分清","Economists struggle to disentangle the effects of fiscal policy from broader market trends when analysing long-term growth.","disentangle the effects; disentangle the relationship; disentangle the factors","C2"
"Dispassionate","/dɪsˈpæʃənət/","adj.","dispassionate, more dispassionate, most dispassionate","dispassion (n.), dispassionateness (n.)","冷靜的；鎮定的；客觀的","A good judge must approach each case with dispassionate reasoning, setting aside personal sympathies to evaluate the evidence objectively.","dispassionate analysis; dispassionate observer; dispassionate assessment","C2"
"Dispirited","/dɪˈspɪrɪtɪd/","adj.","dispirited, more dispirited, most dispirited","dispiritedness (n.)","沮喪的；灰心的","After repeated setbacks in the laboratory, the once-enthusiastic team grew dispirited and began to question the project's feasibility.","dispirited team; increasingly dispirited; dispirited and weary","C2"
"Dissension","/dɪˈsenʃn/","n.","dissension, dissensions","dissent (v.)","糾紛；異議；分歧；不合","Persistent dissension among the faculty over curriculum reform ultimately delayed the implementation of the new programme.","internal dissension; cause dissension; sow dissension","C2"
"Divvy up","/ˌdɪvi ˈʌp/","phr. v.","divvy up, divvies up, divvied up, divvied up, divvying up","None","分攤；分配","The lawmakers may decide how to divvy up the funds during the upcoming fall session.","divvy up the funds; divvy up the resources; divvy up the proceeds","B2"
"Docile","/ˈdəʊsaɪl/","adj.","docile, more docile, most docile","docility (n.)","溫馴的；容易駕馭的","Centuries of selective breeding have produced a docile temperament in many domesticated species, distinguishing them from their wild ancestors.","docile temperament; remarkably docile; docile behaviour","C2"
"Don","/dɒn/","v.","don, dons, donned, donned, donning","None","穿上；戴上","Laboratory technicians are required to don protective gloves and goggles before handling any corrosive chemical reagents.","don protective gear; don a uniform; don a disguise","C2"
"Dorsal","/ˈdɔːrsl/","adj.","no changes","dorsum (n.)","背部的；背側的","Researchers examined the dorsal surface of the specimen to identify the distinctive ridges used in classifying the species.","dorsal fin; dorsal surface; dorsal region","C2"
"Draconian","/drəˈkəʊniən/","adj.","draconian, more draconian, most draconian","draconianism (n.)","嚴苛的；嚴厲的","The government enacted draconian measures to curb inflation, restricting both wages and consumer spending.","draconian measures; draconian laws; draconian restrictions","C2"
"Dulcet","/ˈdʌlsɪt/","adj.","dulcet, more dulcet, most dulcet","None","柔和悅耳的","The poet's dulcet imagery soothes the reader much as a gentle melody calms the listener.","dulcet tones; dulcet melody; dulcet sounds","C2"
"Ebullient","/ɪˈbʌliənt/","adj.","ebullient, more ebullient, most ebullient","ebullience (n.)","沸騰的；熱情奔放的","Her ebullient enthusiasm for the research energized the entire laboratory team during the lengthy experiment.","ebullient mood; ebullient personality; ebullient enthusiasm","C2"
"Egress","/ˈiːɡres/","n. [U]","no changes","egression (n.)","外出；出路；出口","Building regulations require that every public hall provide an adequate means of egress in case of fire.","means of egress; emergency egress; egress point","C2"
"Embryonic","/ˌembriˈɒnɪk/","adj.","embryonic, more embryonic, most embryonic","embryo (n.), embryology (n.)","萌芽的；初期的；胚胎的","The theory remained in an embryonic stage until further data confirmed its central assumptions.","embryonic stage; embryonic development; embryonic form","C2"
"Emollient","/ɪˈmɒliənt/","n.","emollient, emollients","emolliency (n.)","舒緩劑；潤膚劑","Dermatologists frequently recommend an emollient to relieve the dryness and irritation caused by harsh weather.","natural emollient; skin emollient; soothing emollient","C2"
"Encapsulate","/ɪnˈkæpsjuleɪt/","v.","encapsulate, encapsulates, encapsulated, encapsulated, encapsulating","encapsulation (n.)","扼要表述；壓縮；概括","The author manages to encapsulate decades of historical research into a single, concise concluding chapter.","encapsulate the essence; encapsulate the idea; encapsulate the argument","C2"
"Encomium","/enˈkəʊmiəm/","n.","encomium, encomiums","encomiastic (adj.)","讚辭；頌辭","The dean delivered a heartfelt encomium praising the retiring professor's lifelong contributions to linguistics.","deliver an encomium; lavish encomium; fitting encomium","C2"
"Endocrinology","/ˌendəʊkrɪˈnɒlədʒi/","n. [U]","no changes","endocrinologist (n.)","內分泌學，研究激素及內分泌腺體的醫學分支","Advances in endocrinology have greatly improved our understanding of how hormones regulate human metabolism.","clinical endocrinology; field of endocrinology; pediatric endocrinology","C2"
"Enervate","/ˈenərveɪt/","v.","enervate, enervates, enervated, enervated, enervating","enervation (n.)","使衰弱；失去活力","Prolonged exposure to extreme heat can enervate even the most disciplined and well-trained athletes.","enervate the body; enervate the mind; enervate the spirit","C2"
"Enthrall","/ɪnˈθrɔːl/","v.","enthrall, enthralls, enthralled, enthralled, enthralling","enthrallment (n.)","迷住；使吸引","The lecturer's vivid accounts of ancient civilizations never failed to enthrall the entire audience.","enthrall the audience; enthrall listeners; enthrall readers","C2"
"Entreat","/ɪnˈtriːt/","v.","entreat, entreats, entreated, entreated, entreating","None","懇求；請求","The petitioners gathered to entreat the council to reconsider its decision on the proposed reforms.","earnestly entreat; entreat for mercy; entreat the authorities","C2"
"Enumerate","/ɪˈnjuːməreɪt/","v.","enumerate, enumerates, enumerated, enumerated, enumerating","enumeration (n.)","列舉；枚舉","The author proceeds to enumerate the principal factors that contributed to the decline of the empire.","enumerate the factors; carefully enumerate; enumerate the steps","C2"
"Epistolary","/ɪˈpɪstəleri/","adj.","epistolary, more epistolary, most epistolary","epistle (n.)","書信的；書信體的","The epistolary novel, composed entirely of letters exchanged between characters, flourished throughout the eighteenth century.","epistolary novel; epistolary form; epistolary style","C2"
"Equivocate","/ɪˈkwɪvəkeɪt/","v.","equivocate, equivocates, equivocated, equivocated, equivocating","equivocation (n.)","含糊其辭；搪塞","When pressed for a definitive answer, the official continued to equivocate, refusing to commit to any clear position.","equivocate on the issue; tend to equivocate; equivocate about responsibility","C2"
"Esoteric","/ˌesəˈterɪk/","adj.","esoteric, more esoteric, most esoteric","esotericism (n.)","極不尋常的；少見的；深奧難懂的","The lecture addressed several esoteric concepts that only specialists in the field could readily comprehend.","esoteric knowledge; esoteric doctrine; esoteric terminology","C2"
"Espouse","/ɪˈspaʊz/","v.","espouse, espouses, espoused, espoused, espousing","espousal (adj.)","擁護；支持；信奉","The philosopher came to espouse a doctrine that fundamentally challenged the prevailing assumptions of his era.","espouse a cause; espouse a view; espouse a doctrine","C2"
"Ethos","/ˈiːθɒs/","n. [U]","no changes","None","社會風氣；價值觀；民族精神","The collaborative ethos of the research institute encouraged scholars from diverse disciplines to share their findings freely.","academic ethos; community ethos; prevailing ethos","C2"
"Euthanasia","/ˌjuːθəˈneɪʒə/","n. [U]","no changes","None","安樂死；無痛致死（為終止病患痛苦而施行）","The ethics committee convened to debate whether voluntary euthanasia could ever be morally justified.","voluntary euthanasia; legalize euthanasia; debate over euthanasia","C2"
"Euthanize","/ˈjuːθənaɪz/","v.","euthanize, euthanizes, euthanized, euthanized, euthanizing","None","對...實施安樂死","Veterinary guidelines specify the conditions under which a gravely ill animal may be humanely euthanized.","humanely euthanize; euthanize an animal; decision to euthanize","C2"
"Excise","/ɪkˈsaɪz/","v.","excise, excises, excised, excised, excising","excision (n.)","切除；刪去","The editor advised the author to excise several redundant passages in order to strengthen the argument.","excise a tumor; excise a passage; surgically excise","C2"
"Exculpate","/ˈekskʌlpeɪt/","v.","exculpate, exculpates, exculpated, exculpated, exculpating","exculpation (n.), exculpatory (adj.)","證明...無罪；為...辯解","The newly discovered documents served to exculpate the defendant who had long been presumed guilty.","exculpate the accused; evidence to exculpate; seek to exculpate","C2"
"Exemplary","/ɪɡˈzempləri/","adj.","exemplary, more exemplary, most exemplary","exemplar (n.), exemplify (v.)","優異的；值得仿效的；示範的","The committee commended the researcher for her exemplary commitment to methodological rigor.","exemplary behavior; exemplary conduct; exemplary record","C2"
"Exigency","/ˈeksɪdʒənsi/","n.","exigency, exigencies","exigent (adj.)","緊急狀況；危急關頭；迫切需要","The administration invoked financial exigency to justify the sweeping reductions in departmental budgets.","financial exigency; exigencies of war; meet the exigency","C2"
"Facetious","/fəˈsiːʃəs/","adj.","facetious, more facetious, most facetious","facetiousness (n.)","好開玩笑的；滑稽的；不當幽默的","His facetious comment about the seriousness of the crisis offended several colleagues who had spent years studying the problem.","facetious remark; facetious tone; facetious comment","C2"
"Fawning","/ˈfɔːnɪŋ/","adj.","fawning, more fawning, most fawning","fawner (n.)","奉承的；恭維的；討好的","The biographer's fawning portrayal of the monarch drew sharp criticism from historians who valued objectivity.","fawning praise; fawning admiration; fawning deference","C2"
"Feckless","/ˈfekləs/","adj.","feckless, more feckless, most feckless","fecklessness (n.)","沒有能力的；無精打采的；不負責任的","Critics blamed the project's collapse on the feckless management that had ignored repeated warnings about the budget.","feckless leadership; feckless conduct; feckless response","C2"
"Ferret","/ˈferɪt/","n.","ferret, ferrets","None","雪貂；鼬鼠","The ferret is a domesticated mammal often studied by zoologists for its role in controlling rodent populations.","domestic ferret; tame ferret; working ferret","C2"
"Ferret","/ˈferɪt/","v.","ferret, ferrets, ferreted, ferreted, ferreting","None","翻找；探查","Investigative researchers managed to ferret out the discrepancies buried deep within the financial records.","ferret out; ferret out information; ferret out the truth","C2"
"Finesse","/fɪˈnes/","n. [U]","no changes","None","技巧；靈巧度；手腕","The diplomat handled the delicate negotiations with remarkable finesse, avoiding any escalation of tensions.","diplomatic finesse; considerable finesse; technical finesse","C2"
"Fissure","/ˈfɪʃər/","n.","fissure, fissures","None","岩石或土地的裂縫；裂隙","Geologists observed that magma had risen through a deep fissure in the volcanic rock before the eruption.","deep fissure; narrow fissure; widening fissure","C2"
"Fizzle","/ˈfɪzl/","v.","fizzle, fizzles, fizzled, fizzled, fizzling","None","逐漸結束；發出嘶嘶聲；破滅","Despite early enthusiasm, the reform movement began to fizzle out once public attention shifted elsewhere.","fizzle out; gradually fizzle; fizzle into nothing","C2"
"Flail","/fleɪl/","v.","flail, flails, flailed, flailed, flailing","None","（手或雙腿）亂動；揮動","The swimmer began to flail wildly in the current until the lifeguard reached the struggling figure.","flail around; flail wildly; flail helplessly","C2"
"Fleece","/fliːs/","v.","fleece, fleeces, fleeced, fleeced, fleecing","fleecy (adj.)","敲詐；詐取","The report warned that unregulated brokers had fleeced thousands of inexperienced investors of their savings.","fleece customers; fleece the unwary; fleece investors","C2"
"Floe","/fləʊ/","n.","floe, floes","None","浮冰塊；漂浮在海面上的大片冰層","The research team established a temporary camp on a stable ice floe to study the migrating seals.","ice floe; drifting floe; massive floe","C2"
"Flummox","/ˈflʌməks/","v.","flummox, flummoxes, flummoxed, flummoxed, flummoxing","None","使困惑；感到不知所措","The unexpected experimental results seemed to flummox even the most seasoned members of the research panel.","completely flummox; flummox experts; utterly flummox","C2"
"Foal","/fəʊl/","v.","foal, foals, foaled, foaled, foaling","None","（馬、驢等）產下小馬","Veterinary studies indicate that mares typically foal in the early spring when grazing conditions are most favorable.","mares foal in spring; foal without complications; successfully foal","C2"
"Ford","/fɔːrd/","v.","ford, fords, forded, forded, fording","fording (n.)","涉過；跨越（河流）","The expedition was forced to ford the river at its shallowest point before the seasonal floods made crossing impossible.","ford a river; ford the stream; ford safely","C2"
"Fornicate","/ˈfɔːrnɪkeɪt/","v.","fornicate, fornicates, fornicated, fornicated, fornicating","fornication (n.), fornicator (n.)","私通；私通（未婚者）","Medieval ecclesiastical codes imposed severe penalties on those proven to have fornicated outside the bounds of marriage.","fornicate outside marriage; punished for fornicating; forbidden to fornicate","C2"
"Forswear","/fɔːrˈsweər/","v.","forswear, forswears, forswore, forsworn, forswearing","forswearing (n.)","決心放棄；斷念","In his later writings the philosopher urged his followers to forswear material ambition in pursuit of intellectual tranquility.","forswear violence; forswear all ambition; forswear worldly pleasures","C2"
"Founder","/ˈfaʊndər/","v.","founder, founders, foundered, foundered, foundering","found (v.)","（船）沉沒；（計畫）失敗","The ambitious reform program began to founder once its principal architects withdrew their support.","founder on the rocks; negotiations foundered; founder under pressure","C2"
"Fraternize","/ˈfrætərnaɪz/","v.","fraternize, fraternizes, fraternized, fraternized, fraternizing","fraternity (n.), fraternisation (n.), fraternization (n.)","相處融洽；親如兄弟；（尤指與敵方）親善","Military codes of conduct traditionally prohibited soldiers from fraternizing with the enemy during periods of active conflict.","fraternize with the enemy; fraternize with colleagues; forbidden to fraternize","C2"
"Fray","/freɪ/","v.","fray, frays, frayed, frayed, fraying","None","磨損；（使）變得緊張","As the prolonged negotiations dragged on, tempers began to fray and the prospect of a settlement receded.","fray at the edges; tempers fray; nerves begin to fray","C2"
"Fumble","/ˈfʌmbl/","v.","fumble, fumbles, fumbled, fumbled, fumbling","None","笨手笨腳地做；摸索","The witness appeared to fumble for an explanation when pressed about the inconsistencies in his earlier testimony.","fumble for words; fumble with the keys; fumble an answer","C2"
"Fume","/fjuːm/","v.","fume, fumes, fumed, fumed, fuming","None","憤怒；生悶氣；冒煙","The committee chair was left to fume in silence after his proposal was decisively rejected by the assembly.","fume with anger; fume over the decision; quietly fume","C2"
"Gadfly","/ˈɡædflaɪ/","n.","gadfly, gadflies","None","煩人的人或事物；討厭鬼","Socrates famously described himself as a gadfly whose persistent questioning stirred the complacent citizens of Athens.","a political gadfly; persistent gadfly; social gadfly","C2"
"Gainsay","/ˌɡeɪnˈseɪ/","v.","gainsay, gainsays, gainsaid, gainsaid, gainsaying","gainsayer (n.)","否認；反駁","Few scholars would gainsay the profound influence that this single discovery exerted on subsequent research.","impossible to gainsay; gainsay the evidence; hard to gainsay","C2"
"Gait","/ɡeɪt/","n.","gait, gaits","None","步態；步履；行走的方式","Researchers analyzed the patient's gait in order to detect early indicators of neurological impairment.","a steady gait; an unsteady gait; analyze the gait","C2"
"Gape","/ɡeɪp/","v.","gape, gapes, gaped, gaped, gaping","None","目瞪口呆地注視著；張開","The tourists gaped in astonishment at the sheer scale of the ancient cathedral's vaulted ceiling.","gape in astonishment; gape at the spectacle; mouth gaping open","C2"
"Garble","/ˈɡɑːrbl/","v.","garble, garbles, garbled, garbled, garbling","None","含糊不清；易引起誤會的；扭曲（訊息）","Poor transmission conditions can garble a radio signal so severely that the original message becomes unintelligible.","garble the message; garble the transmission; garble the instructions","C2"
"Garrison","/ˈɡærɪsn/","n.","garrison, garrisons","None","駐防地；守衛隊","The fortress maintained a permanent garrison to defend the frontier against repeated incursions.","military garrison; garrison town; permanent garrison","C2"
"Germane","/dʒɜːrˈmeɪn/","adj.","germane, more germane, most germane","germaneness (n.)","有密切關係的；適當的","Her remarks during the corporate meeting could not have been more germane to the ongoing discussion about budget cuts.","germane to the discussion; highly germane; directly germane","C2"
"Gerontocracy","/ˌdʒerənˈtɒkrəsi/","n.","gerontocracy, gerontocracies","None","老人政治；由年長者統治的政治體制","Critics argued that the aging leadership had transformed the party into a gerontocracy resistant to reform.","entrenched gerontocracy; political gerontocracy; ruling gerontocracy","C2"
"Gnat","/næt/","n.","gnat, gnats","None","小蟲；蚋；瑣碎的煩惱","Dense swarms of gnats hovered over the stagnant pond throughout the humid summer evenings.","swarm of gnats; cloud of gnats; tiny gnat","C2"
"Grandiloquent","/ɡrænˈdɪləkwənt/","adj.","grandiloquent, more grandiloquent, most grandiloquent","grandiloquence (n.)","誇大的；大言不慚的","The senator's grandiloquent rhetoric impressed the crowd but offered few concrete proposals for reform.","grandiloquent language; grandiloquent style; grandiloquent rhetoric","C2"
"Grapple","/ˈɡræpl/","v.","grapple, grapples, grappled, grappled, grappling","grappling (n.), grappler (n.)","扭打；搏鬥；努力解決","Economists continue to grapple with the structural causes of persistent income inequality.","grapple with a problem; grapple with the issue; grapple with uncertainty","C2"
"Gyrate","/ˌdʒaɪˈreɪt/","v.","gyrate, gyrates, gyrated, gyrated, gyrating","gyration (n.)","旋轉；不停轉動；（價格、情緒等）劇烈波動","Financial markets began to gyrate wildly as investors reacted to the unexpected policy announcement.","gyrate wildly; gyrate around an axis; gyrate rapidly","C2"
"Hackneyed","/ˈhæknid/","adj.","hackneyed, more hackneyed, most hackneyed","hackneyedness (n.)","陳腐的；老套的","Critics dismissed the essay as a collection of hackneyed observations that added little to the scholarly debate.","hackneyed plot; hackneyed phrase; hackneyed metaphor","C2"
"Halcyon","/ˈhælsiən/","adj.","halcyon, more halcyon, most halcyon","None","美好的（時光）；平靜幸福的","Historians often look back on that period as the halcyon days of artistic patronage and economic stability.","halcyon days; halcyon era; halcyon period","C2"
"Hap","/hæp/","n.","hap, haps","happening (n.)","機會；小確幸；運氣","Whether the expedition would succeed seemed entirely a matter of hap, depending more on luck than on any careful preparation.","by hap; mere hap; good hap","C2"
"Harbinger","/ˈhɑːrbɪndʒər/","n.","harbinger, harbingers","None","前兆；先驅","Economists often regard a sharp decline in consumer spending as a harbinger of an impending recession.","a harbinger of change; a harbinger of doom; harbinger of society","C2"
"Harp on","/hɑːrp ɒn/","phr. v.","harp on, harps on, harped on, harped on, harping on","None","反覆談論；不停抱怨","The professor continued to harp on about the importance of primary sources despite repeated objections from students.","harp on about; continually harp on; harp on endlessly","C2"
"Harrow","/ˈhærəʊ/","n.","harrow, harrows","None","耙子；耙地","Before sowing the seeds, the farmer dragged a heavy harrow across the field to break up the compacted soil.","disc harrow; spike-tooth harrow; pull a harrow","C2"
"Harrowing","/ˈhærəʊɪŋ/","adj.","harrowing, more harrowing, most harrowing","harrow (n.)","令人痛苦的；折磨人的","The survivors gave a harrowing account of the weeks they spent stranded in the wilderness without food.","a harrowing experience; a harrowing account; harrowing ordeal","C2"
"Heckler","/ˈheklər/","n.","heckler, hecklers","heckle (v.)","擾亂者；激烈質問者","A persistent heckler interrupted the lecturer repeatedly until security escorted him from the auditorium.","a persistent heckler; silence a heckler; shout down a heckler","C2"
"Herald","/ˈherəld/","n.","herald, heralds","None","預兆；先兆；使者","Many cultures viewed the appearance of certain migratory birds as a herald of the coming spring.","a herald of change; royal herald; herald of spring","C2"
"Herald","/ˈherəld/","v.","herald, heralds, heralded, heralded, heralding","None","預示…的開始；宣佈","The invention of the printing press is widely seen as heralding a profound transformation in the spread of knowledge.","herald a new era; widely heralded as; herald the arrival","C2"
"Hirsute","/ˈhɜːrsjuːt/","adj.","hirsute, more hirsute, most hirsute","hirsuteness (n.)","臉和身體多毛的","The portrait depicted a hirsute gentleman with a full beard and heavy brows that dominated his angular features.","hirsute surface; densely hirsute; hirsute appearance","C2"
"Hodgepodge","/ˈhɒdʒpɒdʒ/","n.","hodgepodge, hodgepodges","None","大雜燴；一團糟","The new constitution turned out to be a hodgepodge of conflicting provisions that no legislator fully understood.","hodgepodge of ideas; random hodgepodge; confusing hodgepodge","C2"
"Hoodwink","/ˈhʊdwɪŋk/","v.","hoodwink, hoodwinks, hoodwinked, hoodwinked, hoodwinking","None","詐欺；哄騙","The fraudulent scheme was designed to hoodwink investors into funding a company that never actually existed.","hoodwink investors; easily hoodwinked; hoodwink the public","C2"
"Hubris","/ˈhjuːbrɪs/","n. [U]","no changes","None","驕傲；自大；狂妄","The general's hubris led him to underestimate his opponents, ultimately bringing about his own downfall.","an act of hubris; tragic hubris; characterized by hubris","C2"
"Iconoclast","/aɪˈkɒnəklæst/","n.","iconoclast, iconoclasts","iconoclastic (adj.)","反傳統信仰者；反傳統者","The philosopher was regarded as an iconoclast who challenged every accepted premise of the field, forcing his contemporaries to reconsider their assumptions.","intellectual iconoclast; religious iconoclast; a true iconoclast","C2"
"Idiosyncrasy","/ˌɪdiəˈsɪŋkrəsi/","n.","idiosyncrasy, idiosyncrasies","idiosyncratic (adj.)","習性；特質；風格","Each researcher developed a distinctive idiosyncrasy in the way data were recorded and interpreted.","personal idiosyncrasy; stylistic idiosyncrasy; individual idiosyncrasy","C2"
"Idolatry","/aɪˈdɒlətri/","n. [U]","no changes","idolatrous (adj.), idolater (n.)","偶像崇拜；盲目崇拜","The reformers condemned the practice as idolatry, arguing that veneration of images corrupted true worship.","religious idolatry; condemn idolatry; form of idolatry","C2"
"Imbroglio","/ɪmˈbrəʊliəʊ/","n.","imbroglio, imbroglios","None","複雜的情結；糾葛；紛亂的局面","The diplomatic imbroglio over disputed borders entangled three governments for nearly a decade.","political imbroglio; legal imbroglio; diplomatic imbroglio","C2"
"Immutable","/ɪˈmjuːtəbl/","adj.","no changes","immutability (n.)","永遠不變的；恆久的","Classical physicists once regarded the laws of nature as fixed and immutable across all of space and time.","immutable law; immutable truth; immutable principle","C2"
"Imperious","/ɪmˈpɪəriəs/","adj.","imperious, more imperious, most imperious","imperiousness (n.)","傲慢的；專橫的","The director dismissed the committee's concerns with an imperious wave of the hand, refusing to entertain any objection to her decision.","imperious manner; imperious tone; imperious demeanor","C2"
"Implosion","/ɪmˈpləʊʒn/","n.","implosion, implosions","implode (v.)","內爆；向內崩塌","Economists attributed the sudden implosion of the housing market to years of unchecked speculation.","sudden implosion; economic implosion; financial implosion","C2"
"Imponderable","/ɪmˈpɒndərəbl/","adj.","imponderable, more imponderable, most imponderable","None","（效果）無法預測的；難以估計的","The long-term social effects of the policy remain largely imponderable, defying any precise measurement.","imponderable question; imponderable factor; imponderable consequence","C2"
"Inception","/ɪnˈsepʃn/","n. [U]","no changes","None","成立；啟動；開始","Since its inception, the institute has funded research into renewable energy across several continents.","since its inception; at the inception; from inception","C2"
"Incognito","/ˌɪnkɒɡˈniːtəʊ/","adj.","no changes","None","隱姓埋名的；隱藏真實身分的","The visiting scholar chose to remain incognito so that her observations of the community would not be influenced.","remain incognito; stay incognito; travel incognito","C2"
"Inconsequential","/ɪnˌkɒnsɪˈkwenʃl/","adj.","inconsequential, more inconsequential, most inconsequential","inconsequentially (adv.)","不重要的；微不足道的；極小的","What at first appeared an inconsequential discrepancy in the data later proved central to the entire argument.","inconsequential detail; seemingly inconsequential; inconsequential difference","C2"
"Incorrigible","/ɪnˈkɒrɪdʒəbl/","adj.","incorrigible, more incorrigible, most incorrigible","incorrigibility (n.)","屢教不改的；不可救藥的","The committee dismissed his repeated violations as the behavior of an incorrigible offender beyond reform.","incorrigible optimist; incorrigible behavior; incorrigible offender","C2"
"Incredulous","/ɪnˈkredjələs/","adj.","incredulous, more incredulous, most incredulous","incredulity (n.)","不願意相信的；抱持懷疑的","Many scholars were initially incredulous of the claim, demanding far stronger evidence before accepting it.","incredulous look; remain incredulous; incredulous expression","C2"
"Indelible","/ɪnˈdeləbl/","adj.","no changes","indelibility (n.)","無法去除的；抹滅的；持久的","The atrocities of the war left an indelible mark on the collective memory of the entire generation.","indelible mark; indelible impression; indelible memory","C2"
"Indict","/ɪnˈdaɪt/","v.","indict, indicts, indicted, indicted, indicting","indictment (n.)","起訴；指控","A grand jury may indict an official only when the prosecution presents sufficient evidence of wrongdoing.","indict a suspect; formally indict; indict on charges","C2"
"Indolent","/ˈɪndələnt/","adj.","indolent, more indolent, most indolent","indolence (n.)","懶散的；怠惰的","The report criticized the indolent administration for failing to implement any meaningful reforms over the decade.","indolent attitude; indolent lifestyle; notoriously indolent","C2"
"Indomitable","/ɪnˈdɒmɪtəbl/","adj.","no changes","indomitability (n.)","不屈不撓的；不服輸的","Her indomitable spirit enabled the research team to persevere despite repeated experimental failures.","indomitable spirit; indomitable will; indomitable courage","C2"
"Ineffable","/ɪnˈefəbl/","adj.","no changes","ineffability (n.)","難以言喻的；妙不可言的","Philosophers have long argued that certain mystical experiences remain ineffable and cannot be captured in ordinary language.","ineffable joy; ineffable beauty; ineffable mystery","C2"
"Infinitesimal","/ˌɪnfɪnɪˈtesɪml/","adj.","no changes","infinitesimally (adv.)","極微小的；微不足道的","The measured deviation was infinitesimal, far too small to affect the overall outcome of the calculation.","infinitesimal amount; infinitesimal difference; infinitesimal quantity","C2"
"Ingest","/ɪnˈdʒest/","v.","ingest, ingests, ingested, ingested, ingesting","None","攝取；嚥下","Marine organisms frequently ingest microplastics, which then accumulate throughout the entire food chain.","ingest food; ingest a substance; accidentally ingest","C2"
"Inimical","/ɪˈnɪmɪkl/","adj.","inimical, more inimical, most inimical","inimicality (n.)","敵對的；有害的；邪惡的","Excessive regulation can prove inimical to innovation by discouraging entrepreneurs from taking risks.","inimical to progress; inimical influence; fundamentally inimical","C2"
"Injurious","/ɪnˈdʒʊəriəs/","adj.","injurious, more injurious, most injurious","injuriousness (n.), injury (n.)","有害的；致傷的","Researchers confirmed that prolonged exposure to loud noise is injurious to hearing, causing irreversible damage to auditory cells.","injurious to health; highly injurious; potentially injurious","C2"
"Insalubrious","/ˌɪnsəˈluːbriəs/","adj.","insalubrious, more insalubrious, most insalubrious","insalubriousness (n.), insalubrity (n.)","不衛生的；不健康的","The overcrowded tenements provided insalubrious living conditions that fostered the rapid spread of disease.","insalubrious conditions; insalubrious environment; insalubrious district","C2"
"Insipid","/ɪnˈsɪpɪd/","adj.","insipid, more insipid, most insipid","insipidity (n.)","平淡的；無味的；無趣的","Critics dismissed the novel as insipid, lacking both intellectual depth and stylistic originality.","insipid prose; insipid conversation; utterly insipid","C2"
"Insular","/ˈɪnsjələr/","adj.","insular, more insular, most insular","insularity (n.)","狹隘的；保守的；島嶼的","The academy was criticized for its insular culture, which resisted ideas originating outside its own narrow tradition.","insular community; insular mindset; insular attitude","C2"
"Insuperable","/ɪnˈsuːpərəbl/","adj.","no changes","None","難以克服的；不能越過的","The negotiators concluded that the divergent territorial claims posed an insuperable obstacle to any lasting settlement.","insuperable obstacle; insuperable barrier; insuperable difficulty","C2"
"Insurrection","/ˌɪnsəˈrekʃn/","n.","insurrection, insurrections","insurrectional (adj.), insurrectionary (adj.), insurrectionist (n.)","起義；叛亂；造反","Historians have long debated whether the failed insurrection accelerated or delayed the broader movement for political reform.","armed insurrection; popular insurrection; quell an insurrection","C2"
"Interlocutor","/ˌɪntəˈlɒkjətər/","n.","interlocutor, interlocutors","None","對話者；（談話）代言人","In a structured dialogue, the speaker must continually adjust the message according to the apparent comprehension of the interlocutor.","principal interlocutor; skilled interlocutor; respond to an interlocutor","C2"
"Internment","/ɪnˈtɜːrnmənt/","n. [U]","no changes","intern (v.)","（因政治或軍事原因的）拘留；收容","The government ordered the internment of thousands of civilians deemed to pose a security risk during the wartime emergency.","internment camp; wartime internment; mass internment","C2"
"Intransigent","/ɪnˈtrænsɪdʒənt/","adj.","intransigent, more intransigent, most intransigent","intransigence (n.), intransigency (n.)","固執的；不妥協或讓步的","Despite repeated diplomatic overtures, the regime remained intransigent and refused to soften any of its initial demands.","intransigent attitude; intransigent stance; remain intransigent","C2"
"Inure","/ɪˈnjʊər/","v.","inure, inures, inured, inured, inuring","inurement (n.)","使某人習慣於不愉快的事物；適應","Years of fieldwork in harsh climates had inured the researchers to physical discomfort and unpredictable conditions.","inure someone to; become inured to; inure to hardship","C2"
"Invariant","/ɪnˈveəriənt/","adj.","invariant, more invariant, most invariant","invariance (n.)","不變化的；恆定的","The researchers identified several invariant properties that remained unchanged regardless of how the system was transformed.","invariant property; invariant feature; remain invariant","C2"
"Inveterate","/ɪnˈvetərət/","adj.","inveterate, more inveterate, most inveterate","inveteracy (n.)","積習難改的；根深蒂固的","An inveterate skeptic, the professor demanded rigorous evidence before accepting even the most widely held theories.","inveterate habit; inveterate gambler; inveterate skeptic","C2"
"Irrefutable","/ˌɪrɪˈfjuːtəbl/","adj.","no changes","None","無可辯駁的；不可否認的","The accumulated data provided irrefutable evidence that human activity was driving the observed rise in global temperatures.","irrefutable evidence; irrefutable proof; irrefutable argument","C2"
"Irrevocable","/ɪˈrevəkəbl/","adj.","no changes","irrevocability (n.)","不可改變的；不能撤回的","Once the funds are transferred under the terms of this agreement, the donation becomes irrevocable and cannot be reclaimed.","irrevocable decision; irrevocable trust; irrevocable commitment","C2"
"Jabber","/ˈdʒæbər/","v.","jabber, jabbers, jabbered, jabbered, jabbering","jabberer (n.), jabbering (n.)","快而含糊地說；吱喳叫","The toddlers jabbered excitedly during the experiment, making it difficult for the researchers to transcribe their utterances.","jabber away; jabber excitedly; jabber incessantly","C2"
