"Word","IPA","POS","Inflections","Definition","Example","Collocations","Context_Type"
"circumspect","/ˈsɜːrkəmspekt/","adj.","circumspectly","謹慎的；深思熟慮的","In such a volatile political climate, it's wise to be circumspect about expressing your opinions publicly.","circumspect approach; circumspect manner","Workplace"
"claustrophobia","/ˌklɔːstrəˈfəʊbiə/","n.","-","密閉恐懼症","He suffers from severe claustrophobia and refuses to use elevators, even in very tall buildings.","suffer from claustrophobia; feel claustrophobia","Social"
"desiccated","/ˈdesɪkeɪtɪd/","adj.","-","乾燥的；乾巴巴的","The desiccated remains of a desert plant were the only sign of life in the sandy landscape.","desiccated coconut; desiccated skin","Academic"
"dispirited","/dɪˈspɪrɪtɪd/","adj.","dispiritedly","沮喪的；灰心的","The team felt dispirited after losing their third game in a row by such a large margin.","look dispirited; feel dispirited","Social"
"harbinger","/ˈhɑːrbɪndʒər/","n.","harbingers","前兆；先驅","The sudden drop in temperature was a harbinger of the severe winter storm that was about to hit.","harbinger of spring; harbinger of doom","Social"
"inconsequential","/ɪnˌkɒnsɪˈkwenʃl/","adj.","inconsequentially","不重要的；微小的","Whether you choose the blue or the red pen is entirely inconsequential to the final result.","inconsequential details; inconsequential amount","Workplace"
"jocular","/ˈdʒɒkjələr/","adj.","jocularly","詼諧的；愛開玩笑的","He's in a jocular mood today, telling jokes and making everyone in the office laugh.","jocular comment; jocular remark","Social"
"torrid","/ˈtɒrɪd/","adj.","-","炙熱的；熱情的","The torrid heat of the desert made it impossible to travel during the middle of the day.","torrid climate; torrid affair","Social"
"perigee","/ˈperɪdʒiː/","n.","perigees","近地點","The moon appears slightly larger in the sky when it reaches its perigee in its orbit around the Earth.","reach perigee; moon's perigee","Academic"
"asunder","/əˈsʌndər/","adv.","-","分離地；破碎地","The powerful earthquake tore the ground asunder, creating deep cracks across the landscape.","torn asunder; rent asunder","Social"
"ethos","/ˈiːθɒs/","n.","-","（個人、團體或時代的）特質；社會風氣","The university's ethos is built on the principles of academic freedom and open inquiry.","cultural ethos; underlying ethos","Academic"
"forswear","/fɔːrˈswer/","v.","forswore, forsworn, forswearing","決心放棄；發誓戒除","He decided to forswear all junk food and start a new, healthy diet and exercise routine.","forswear violence; forswear an oath","Social"
"logos","/ˈləʊɡɒs/","n.","-","理性；邏輯","In classical rhetoric, logos refers to the use of logical argument and evidence to persuade an audience.","appeal to logos; power of logos","Academic"
"nonchalance","/ˈnɒnʃələns/","n.","-","漠不關心；冷淡","She handled the criticism with apparent nonchalance, even though it must've hurt her feelings.","studied nonchalance; air of nonchalance","Social"
"don","/dɒn/","v.","donned, donning","穿上；披上","Before heading out into the cold morning air, he paused to don his heavy winter coat.","don a mask; don armor","Social"
"embryonic","/ˌembriˈɒnɪk/","adj.","-","胚胎的；初期的；萌芽的","The project is still in its embryonic stage, with many details yet to be finalized.","embryonic development; embryonic phase","Academic"
"heckler","/ˈheklər/","n.","hecklers","擾亂者；起鬨者","The comedian handled the heckler with a quick, witty comeback that silenced the whole room.","shout down a heckler; persistent heckler","Social"
"incognito","/ˌɪnkɒɡˈniːtəʊ/","adj. / adv.","-","隱姓埋名地；匿名地","The movie star traveled incognito to avoid being recognized by the paparazzi.","travel incognito; stay incognito","Social"
"loom","/luːm/","v.","loomed, looming","隱約顯現；即將發生","With the deadline looming, the team worked around the clock to finish the report on time.","loom ahead; loom large","Social"
"lopsided","/ˌlɒpˈsaɪdɪd/","adj.","lopsidedly","不平衡的；向一側傾斜的","The score was a lopsided 45-0, making it clear that the two teams weren't in the same league.","lopsided victory; lopsided smile","Social"
"masochist","/ˈmæsəkɪst/","n.","masochists","被虐狂","You'd have to be a bit of a masochist to enjoy training for a marathon in this freezing rain.","pure masochist; masochistic tendencies","Social"
"mollify","/ˈmɒlɪfaɪ/","v.","mollified, mollifying","撫慰；平息（憤怒或焦慮）","The manager's offer of a free meal did little to mollify the angry customer who'd waited an hour.","mollify an opponent; mollify anger","Workplace"
"onus","/ˈəʊnəs/","n.","-","責任；義務","The onus is on the prosecution to prove beyond a reasonable doubt that the defendant is guilty.","onus of proof; place the onus on","Legal"
"preclude","/prɪˈkluːd/","v.","precluded, precluding","排除；防止；阻止","The high cost of the equipment might preclude many small laboratories from conducting this research.","preclude the possibility; be precluded from","Academic"
"quintessential","/ˌkwɪntɪˈsenʃl/","adj.","quintessentially","最典型的；精華的","This charming little village is often described as the quintessential English countryside retreat.","quintessential example; quintessential style","Academic"
"consequential","/ˌkɒnsɪˈkwenʃl/","adj.","consequentially","隨之發生的；重要的","The discovery of fire was one of the most consequential events in the history of human civilization.","consequential decision; consequential damage","Academic"
"contraband","/ˈkɒntrəbænd/","n.","-","違禁品；走私貨","Customs officials seized a large shipment of contraband cigarettes at the border yesterday.","seize contraband; smuggle contraband","Legal"
"crestfallen","/ˈkrestfɔːlən/","adj.","-","垂頭喪氣的；氣餒的","He looked absolutely crestfallen when he found out he hadn't made the cut for the national team.","look crestfallen; crestfallen expression","Social"
"placebo","/pləˈsiːbəʊ/","n.","placebos","安慰劑","In the clinical trial, half of the participants were given the drug while the other half received a placebo.","placebo effect; placebo-controlled","Academic"
"apparition","/ˌæpəˈrɪʃn/","n.","apparitions","幽靈；幻影","The villagers told stories of a ghostly apparition that haunted the ruins of the old castle.","ghostly apparition; sudden apparition","Social"
"berserk","/bəˈzɜːrk/","adj.","-","發狂的；狂暴的","The crowd went completely berserk when the home team scored the winning goal in the final seconds.","go berserk; berserk rage","Social"
"cohere","/kəʊˈhɪər/","v.","cohered, cohering","連貫；一致；凝聚","For a theory to be taken seriously, all its different parts must cohere into a logical framework.","cohere into a whole; fail to cohere","Academic"
"concerted","/kənˈsɜːrtɪd/","adj.","-","共同的；一致的","We need to make a concerted effort as a team if we're gonna finish this project by Friday.","concerted action; concerted plan","Workplace"
"ineffable","/ɪnˈefəbl/","adj.","ineffably","難以言喻的；不可言傳的","The beauty of the mountain range at sunset was so ineffable that we just stood there in silence.","ineffable joy; ineffable beauty","Social"
"injurious","/ɪnˈdʒʊəriəs/","adj.","injuriously","有害的；致傷的","Smoking is widely known to be injurious to health, yet millions of people still struggle to quit.","injurious effect; injurious to health","Academic"
"parity","/ˈpærəti/","n.","-","同等；平等","The workers are demanding pay parity with their colleagues in the neighboring factory.","reach parity; economic parity","Workplace"
"quack","/kwæk/","n. / v.","quacks, quacked, quacking","江湖郎中；（鴨子）嘎嘎叫","Don't waste your money on those 'miracle' cures; that guy's nothing but a dangerous quack.","medical quack; duck's quack","Social"
"tangential","/tænˈdʒenʃl/","adj.","tangentially","離題的；切線的","His comments were only tangential to the main issue we were trying to resolve in the meeting.","tangential point; tangentially related","Academic"
"verisimilitude","/ˌverɪsɪˈmɪlɪtjuːd/","n.","-","逼真；貌似真實","The director used period-accurate costumes and settings to give the film a sense of verisimilitude.","lack verisimilitude; air of verisimilitude","Academic"
"delectable","/dɪˈlektəbl/","adj.","delectably","美味可口的；令人愉快的","The bakery is famous for its delectable pastries that draw crowds from all over the city.","delectable meal; delectable smell","Social"
"enervate","/ˈenərveɪt/","v.","enervated, enervating","使衰弱；使失去活力","The torrid heat and high humidity of the jungle can quickly enervate even the strongest hikers.","be enervated by; enervating climate","Academic"
"insuperable","/ɪnˈsuːpərəbl/","adj.","insuperably","難以克服的；不可逾越的","They faced what seemed like insuperable obstacles, but they refused to give up on their dream.","insuperable difficulty; insuperable barrier","Social"
"jaded","/ˈdʒeɪdɪd/","adj.","jadedly","疲倦的；厭倦的","After years of working in the fashion industry, she's become quite jaded about the whole scene.","jaded palate; feel jaded","Social"
"kindred","/ˈkɪndrəd/","adj. / n.","-","同類的；有血緣關係的","We realized we were kindred spirits as soon as we started talking about our love for old films.","kindred spirits; kindred subjects","Social"
"melee","/ˈmeleɪ/","n.","melees","混戰；亂軍中","Several people were injured in the melee that broke out after the controversial referee's decision.","violent melee; break up a melee","Social"
"putrid","/ˈpjuːtrɪd/","adj.","putridity","腐爛的；惡臭的","The smell of the putrid garbage was so strong that we had to hold our breath while passing by.","putrid smell; putrid remains","Social"
"spendthrift","/ˈspendθrɪft/","n. / adj.","spendthrifts","揮霍無度者；浪費的","He's such a spendthrift that he's already gone through his entire inheritance in just two years.","spendthrift habits; reckless spendthrift","Social"
"stolid","/ˈstɒlɪd/","adj.","stolidly","呆板的；不動感情的","He maintained a stolid expression throughout the entire trial, never showing a hint of emotion.","stolid character; stolid face","Social"
"surfeit","/ˈsɜːrfɪt/","n. / v.","surfeited, surfeiting","過量；過度","The market currently has a surfeit of cheap electronics, driving prices down for everyone.","surfeit of information; be surfeited with","Academic"
"testy","/ˈtesti/","adj.","testier, testiest","暴躁的；易怒的","He gets a bit testy when he hasn't had his morning coffee yet, so maybe wait an hour.","testy mood; testy remark","Social"
"unerringly","/ʌnˈɜːrɪŋli/","adv.","-","萬無一失地；精確地","She has a talent for unerringly spotting the smallest errors in even the longest reports.","unerringly accurate; unerringly pick","Workplace"
"vindicate","/ˈvɪndɪkeɪt/","v.","vindicated, vindicating","證明…正確；洗雪（冤情）","The new DNA evidence finally served to vindicate the man who'd been wrongly imprisoned.","vindicate a claim; be vindicated by","Legal"
"fleece","/fliːs/","v. / n.","fleeced, fleecing","敲竹槓；羊毛","Tourists're often fleeced by unscrupulous street vendors in that part of the city.","fleece customers; thick fleece","Social"
"irrefutable","/ˌɪrɪˈfjuːtəbl/","adj.","irrefutably","無可辯駁的","The video footage provided irrefutable proof that the suspect was at the scene of the crime.","irrefutable evidence; irrefutable logic","Academic"
"laggard","/ˈlæɡərd/","n. / adj.","laggards","遲緩者；落後的","The company was once a leader, but now it's become a bit of a laggard in the tech industry.","laggard in technology; laggard performance","Workplace"
"lassitude","/ˈlæsɪtjuːd/","n.","-","疲勞；倦怠","A sense of lassitude settled over the office as the long, hot afternoon dragged on.","feel lassitude; overcome by lassitude","Social"
"morose","/məˈrəʊs/","adj.","morosely","陰鬱的；悶悶不樂的","He's been morose and withdrawn ever since he got the news about his job loss.","morose character; morose silence","Social"
"quixotic","/kwɪkˈsɒtɪk/","adj.","quixotically","不切實際的；異想天開的","Trying to fix the world's problems overnight is a noble but ultimately quixotic goal.","quixotic quest; quixotic plan","Social"
"rescind","/rɪˈsɪnd/","v.","rescinded, rescinding","廢除；撤銷","The government decided to rescind the controversial tax after months of public protests.","rescind an offer; rescind a policy","Legal"
"canny","/ˈkæni/","adj.","cannier, canniest","精明的；靈巧的","She's a canny investor who always seems to know exactly when to buy and sell.","canny businessman; canny move","Workplace"
"apogee","/ˈæpədʒiː/","n.","apogees","頂點；遠地點","The empire reached its apogee during the reign of the third emperor before slowly declining.","reach its apogee; moon's apogee","Academic"
"perigee","/ˈperɪdʒiː/","n.","perigees","近地點","Astronomers're studying how the moon's gravity affects tides more strongly during its perigee.","reach perigee; lunar perigee","Academic"
"bane","/beɪn/","n.","-","禍根；災星","That noisy neighbor's the bane of my existence; I can't ever get a good night's sleep.","bane of one's life; bane of existence","Social"
"din","/dɪn/","n. / v.","dinned, dinning","喧囂聲；嘈雜聲","The din from the construction site next door made it impossible for us to hear each other.","constant din; deafening din","Social"
"discordant","/dɪsˈkɔːrdənt/","adj.","discordantly","刺耳的；不和諧的","The chorus of discordant voices made it hard for the committee to reach any sort of consensus.","discordant notes; discordant views","Academic"
"gape","/ɡeɪp/","v. / n.","gaped, gaping","目瞪口呆地看","The tourists could only gape in awe at the sheer size and beauty of the grand cathedral.","gape at the sight; wide gape","Social"
"immutable","/ɪˈmjuːtəbl/","adj.","immutably","永遠不變的","While technology changes rapidly, certain human emotions seem to remain largely immutable.","immutable truth; immutable laws","Academic"
"plaintive","/ˈpleɪntɪv/","adj.","plaintively","哀傷的；悲哀的","We heard the plaintive cry of a lonely wolf echoing through the mountains at night.","plaintive voice; plaintive melody","Social"
"offhand","/ˌɒfˈhænd/","adj. / adv.","-","隨便地；即時地；不友好的","I can't give you the exact figures offhand, but I'll check the database and get back to you.","offhand remark; speak offhand","Social"
"portend","/pɔːrˈtend/","v.","portended, portending","預示；預兆","Dark clouds and a sudden drop in pressure often portend a severe thunderstorm.","portend disaster; portend change","Academic"
"posterity","/pɒˈsterəti/","n.","-","後代；後裔","We must protect our environment today for the sake of posterity and future generations.","preserve for posterity; benefit posterity","Academic"
"quaint","/kweɪnt/","adj.","quainter, quaintest","別緻的；古雅的","We stayed in a quaint little cottage in a remote village that looked like it was from another era.","quaint village; quaint custom","Social"
"quandary","/ˈkwɒndəri/","n.","quandaries","窘境；困惑","I'm in a quandary over whether to tell him the truth or keep it a secret to avoid hurting him.","moral quandary; in a quandary","Social"
"raucous","/ˈrɔːkəs/","adj.","raucously","刺耳的；喧鬧的","The party next door was so raucous that someone eventually called the police to complain.","raucous laughter; raucous crowd","Social"
"recapitulate","/ˌriːkəˈpɪtʃuleɪt/","v.","recapitulated, recapitulating","扼要重述；概括","To conclude the lecture, let me briefly recapitulate the three main points we've covered.","recapitulate the findings; briefly recapitulate","Academic"
"scoff","/skɒf/","v. / n.","scoffed, scoffing","嘲笑；蔑視","Many people used to scoff at the idea of space travel, but now it's a common reality.","scoff at a suggestion; loud scoff","Social"
"stupefy","/ˈstjuːpɪfaɪ/","v.","stupefied, stupefying","使吃驚；使麻木","The sheer scale of the corruption scandal was enough to stupefy even the most cynical citizens.","be stupefied by; stupefying boredom","Social"
"capitulate","/kəˈpɪtʃuleɪt/","v.","capitulated, capitulating","投降；屈服；讓步","After weeks of intense negotiations, the company finally decided to capitulate to the union's demands.","refuse to capitulate; capitulate to pressure","Workplace"
"emollient","/ɪˈmɒliənt/","n. / adj.","emollients","潤膚劑；緩和的","The doctor prescribed an emollient cream to soothe the dry, itchy skin on my hands.","natural emollient; emollient properties","Academic"
"gadfly","/ˈɡædflaɪ/","n.","gadflies","討厭的人（特別是批評者）；牛虻","The investigative journalist's been a persistent gadfly to the administration for years.","political gadfly; constant gadfly","Social"
"incredulous","/ɪnˈkredjələs/","adj.","incredulously","不相信的；懷疑的","He gave me an incredulous look when I told him that I'd won the lottery.","incredulous smile; remain incredulous","Social"
"indict","/ɪnˈdaɪt/","v.","indicted, indicting","起訴；控告","The grand jury decided to indict the former mayor on multiple charges of corruption.","indict for murder; be indicted on charges","Legal"
"infinitesimal","/ˌɪnfɪnɪˈtesɪməl/","adj.","infinitesimally","極微小的","The amount of radioactive material released was so infinitesimal that it posed no risk.","infinitesimal amount; infinitesimal difference","Academic"
"minion","/ˈmɪnjən/","n.","minions","奴才；部下（貶義）","The CEO usually sends one of his minions to deal with any minor problems at the branch offices.","loyal minion; corporate minion","Workplace"
"opiate","/ˈəʊpiət/","n. / adj.","opiates","鴉片劑；安眠的","The doctor prescribed a mild opiate to help the patient manage the chronic pain.","opiate addiction; opiate effect","Academic"
"panegyric","/ˌpænəˈdʒɪrɪk/","n.","panegyrics","頌詞；讚美文","The memorial service included a moving panegyric that celebrated his lifelong achievements.","deliver a panegyric; write a panegyric","Social"
"peevish","/ˈpiːvɪʃ/","adj.","peevishly","易怒的；脾氣壞的","She gets quite peevish when she's tired, so it's probably best to just leave her alone for a bit.","peevish remark; peevish mood","Social"
"pejorative","/pɪˈdʒɒrətɪv/","adj. / n.","pejoratively","貶低的；輕蔑的","The word 'lazy' is often used in a pejorative sense to criticize those who are struggling.","pejorative term; used pejoratively","Academic"
"swerve","/swɜːrv/","v. / n.","swerved, swerving","突然轉向","The cyclist had to swerve sharply into the next lane to avoid an open car door.","swerve off course; sudden swerve","Social"
"toady","/ˈtəʊdi/","n. / v.","toadies, toadied, toadying","諂媚者；拍馬屁","Nobody likes him because he's such a toady, always agreeing with whatever the boss says.","office toady; toady to someone","Workplace"
"vanguard","/ˈvænɡɑːrd/","n.","vanguards","先鋒；前導","The company's always been at the vanguard of innovation in the renewable energy sector.","in the vanguard of; vanguard of a movement","Academic"
"venerate","/ˈvenəreɪt/","v.","venerated, venerating","崇敬；敬重","Many cultures around the world continue to venerate their ancestors through daily rituals.","venerate as a saint; highly venerated","Social"
"ail","/eɪl/","v.","ailed, ailing","使苦惱；使生病","Economists are trying to figure out what exactly ails the country's manufacturing sector.","what ails you; ailing economy","Workplace"
"ambulatory","/ˈæmbjələtəri/","adj.","-","（患者）不需臥床的；能走路的","The hospital has a separate unit for ambulatory patients who don't require overnight stays.","ambulatory care; ambulatory surgery","Academic"
"dearth","/dɜːrθ/","n.","-","缺乏；不足","There's a serious dearth of qualified teachers in remote areas of the country right now.","dearth of evidence; dearth of resources","Workplace"
"dissension","/dɪˈsenʃn/","n.","dissensions","糾紛；爭執；不睦","The new policy caused a lot of dissension among the members of the committee.","sow dissension; political dissension","Workplace"
"draconian","/drəˈkəʊniən/","adj.","-","嚴厲的；酷苛的","The government's been criticized for introducing draconian measures to control the protests.","draconian laws; draconian cuts","Legal"
"excise","/ekˈsaɪz/","v. / n.","excised, excising","切除；刪除；消費稅","The surgeon had to excise a small tumor from the patient's lung during the operation.","excise a tumor; excise tax","Academic"
"espouse","/ɪˈspaʊz/","v.","espoused, espousing","支持；擁護（觀點、原則等）","She's always been quick to espouse environmental causes and promote sustainable living.","espouse a theory; espouse a cause","Workplace"
"exigency","/ˈeksɪdʒənsi/","n.","exigencies","緊急狀況；急需","The exigencies of the war required the government to make some very tough decisions.","exigencies of the situation; financial exigency","Academic"
"fissure","/ˈfɪʃər/","n. / v.","fissures, fissured, fissuring","裂縫；裂隙","The geologists discovered a large fissure in the rock face that hadn't been there before.","deep fissure; social fissure","Academic"
"inception","/ɪnˈsepʃn/","n.","-","開始；開端","Since its inception in 2010, the program's helped thousands of families across the state.","since its inception; at the inception","Workplace"
"loll","/lɒl/","v.","lolled, lolling","懶散地躺或坐；（舌頭）伸出","I spent the entire weekend just lolling around the house and watching old movies.","loll about; loll one's tongue","Social"
"malediction","/ˌmælɪˈdɪkʃn/","n.","maledictions","詛咒；壞話","In the old folk tale, the witch placed a terrible malediction on the entire kingdom.","utter a malediction; dark malediction","Social"
"mendicant","/ˈmendɪkənt/","n. / adj.","mendicants","乞丐；托缽僧","The city's seen a significant increase in the number of mendicants on the streets lately.","mendicant monk; mendicant orders","Social"
"palpable","/ˈpælpəbl/","adj.","palpably","可感知的；明顯的","The tension in the courtroom was palpable as the jury prepared to deliver its verdict.","palpable excitement; palpably false","Academic"
"pulverize","/ˈpʌlvəraɪz/","v.","pulverized, pulverizing","磨成粉；粉碎","The machinery's designed to pulverize large rocks into fine gravel for road construction.","pulverize to dust; pulverize an opponent","Academic"
"salutary","/ˈsæljutəri/","adj.","-","有益的；（對行為、性格）有改善作用的","The recent crisis served as a salutary lesson for the company's senior management.","salutary effect; salutary advice","Workplace"
"skinflint","/ˈskɪnflɪnt/","n.","skinflints","吝嗇鬼；鐵公雞","He's such a skinflint that he refuses to turn on the heat even in the middle of winter.","notorious skinflint; old skinflint","Social"
"suffrage","/ˈsʌfrɪdʒ/","n.","-","選舉權；投票權","The movement for women's suffrage in the early 20th century changed the face of democracy forever.","universal suffrage; right of suffrage","Academic"
"virulent","/ˈvɪrʊlənt/","adj.","virulence","劇毒的；致命的；刻毒的","The researchers are studying a particularly virulent strain of the virus that's resistant to current vaccines.","virulent disease; virulent attack","Academic"
"wee","/wiː/","adj.","weer, weest","極小的；很早的","I'm just gonna stay for a wee bit longer and then I've gotta head home.","wee hours; a wee bit","Social"
"acrid","/ˈækrɪd/","adj.","acridly","辛辣的；苦澀的；（氣味）刺激的","The acrid smell of burning plastic filled the air after the small fire in the lab.","acrid smoke; acrid taste","Social"
"deadpan","/ˈdedpæn/","adj. / adv.","-","無表情的；故作嚴肅的","He has such a deadpan delivery that it's often hard to tell if he's joking or being serious.","deadpan humor; deadpan expression","Social"
"deterrent","/rɪˈtɜːrənt/","n. / adj.","deterrents","威懾；妨礙物","Many experts argue that the presence of security cameras acts as a strong deterrent to crime.","nuclear deterrent; effective deterrent","Workplace"
"dispassionate","/dɪsˈpæʃənət/","adj.","dispassionately","冷靜的；客觀的；公平的","A judge must remain dispassionate and base their decisions solely on the evidence provided.","dispassionate analysis; dispassionate observer","Academic"
"ebullient","/ɪˈbʌliənt/","adj.","ebulliently","興高采烈的；熱情洋溢的","She was in an ebullient mood after finding out she'd been accepted to her dream university.","ebullient personality; ebullient welcome","Social"
"enumerate","/ɪˈnjuːməreɪt/","v.","enumerated, enumerating","列舉；枚舉","The report went on to enumerate the various reasons why the project had failed so far.","enumerate the facts; enumerate the steps","Academic"
"facetious","/fəˈsiːʃəs/","adj.","facetiously","（不適當地）引人發笑的；好開玩笑的","Please stop being facetious; this is a serious meeting and we need to find a solution.","facetious remark; facetious comment","Social"
"fawning","/ˈfɔːnɪŋ/","adj.","fawningly","討好的；巴結的","I'm tired of his fawning attitude toward the boss just to get a better performance review.","fawning praise; fawning behavior","Workplace"
"fraternize","/ˈfrætərnaɪz/","v.","fraternized, fraternizing","親近；結交（特別是與敵方）","The soldiers were strictly forbidden from fraternizing with the local population during the occupation.","fraternize with the enemy; stop fraternizing","Social"
"gainsay","/ˌɡeɪnˈseɪ/","v.","gainsaid, gainsaying","否認；反駁","There's no way to gainsay the fact that the company's profits've dropped significantly this year.","cannot be gainsaid; refuse to gainsay","Workplace"
"harrowing","/ˈhærəʊɪŋ/","adj.","-","令人心碎的；慘痛的","The documentary provided a harrowing account of the survivors' experiences during the natural disaster.","harrowing experience; harrowing tale","Social"
"indolent","/ˈɪndələnt/","adj.","indolence","懶惰的；不活潑的","The hot, humid weather made everyone feel indolent and unwilling to do much of anything.","indolent lifestyle; indolent habits","Social"
"fornicate","/ˈfɔːrnɪkeɪt/","v.","fornicates, fornicated, fornicating","私通；通姦","In many traditional societies, there're strict social and legal penalties for those who fornicate outside of marriage.","fornicate with; act of fornication","Social"
"lackadaisical","/ˌlækəˈdeɪzɪkl/","adj.","lackadaisically","無精打采的；不熱心的","The team's lackadaisical performance in the second half of the game led to their eventual defeat.","lackadaisical attitude; lackadaisical approach","Workplace"
"languid","/ˈlæŋɡwɪd/","adj.","languidly","慢悠悠的；無力的；倦怠的","We spent a languid afternoon just lying in the sun and listening to the sound of the waves.","languid pace; languid movements","Social"
"ogle","/ˈəʊɡl/","v. / n.","ogled, ogling","色瞇瞇地盯著看","I felt uncomfortable when I noticed that man at the bar trying to ogle me all night.","ogle someone; creepy ogle","Social"
"lewd","/luːd/","adj.","lewdly","淫蕩的；猥褻的","The comedian was criticized for making lewd jokes that many in the audience found offensive.","lewd behavior; lewd comments","Social"
"paraphernalia","/ˌpærəfəˈneɪliə/","n.","-","隨身用品；全部設備","The police discovered a large amount of drug paraphernalia during the search of the apartment.","sports paraphernalia; photography paraphernalia","Social"
"mnemonic","/neˈmɒnɪk/","n. / adj.","mnemonics","助記符號；助記的","Many students use mnemonics to help them remember the order of the planets in the solar system.","mnemonic device; mnemonic technique","Academic"
"pillage","/ˈpɪlɪdʒ/","v. / n.","pillaged, pillaging","掠奪；搶劫","The invading army began to pillage the local villages, taking everything of value they could find.","pillage and loot; systematic pillaging","Academic"
"pique","/piːk/","n. / v.","piqued, piquing","憤怒；不悅；激起（好奇心）","Her curiosity was piqued when she saw the mysterious package sitting on her doorstep.","pique one's interest; fit of pique","Social"
"platitude","/ˈplætɪtjuːd/","n.","platitudes","陳詞濫調","The politician's speech was full of empty platitudes but offered no real solutions to the crisis.","utter platitudes; hackneyed platitude","Academic"
"winsome","/ˈwɪnsəm/","adj.","winsomely","迷人的；引人注目的","She gave me a winsome smile that immediately made me forget why I'd been annoyed.","winsome smile; winsome personality","Social"
"abnegation","/ˌæbnɪˈɡeɪʃn/","n.","-","放棄；自我克制","Monks often live a life of strict abnegation, giving up all material possessions and comforts.","self-abnegation; abnegation of responsibility","Academic"
"confluence","/ˈkɒnfluəns/","n.","confluences","匯流；交匯處；（事物的）結合","The city was built at the confluence of two major rivers, making it a natural center for trade.","confluence of events; reach a confluence","Academic"
"contrive","/kənˈtraɪv/","v.","contrived, contriving","謀劃；圖謀；設計","The two of them managed to contrive a plan to sneak out of the house without being seen.","contrive a solution; contrive a scheme","Social"
"hap","/hæp/","n. / v.","haps, happed, happing","偶然；運氣；發生","In many old stories, the hero's success is due more to good hap than to his own skills.","by good hap; whatever may hap","Social"
"hodgepodge","/ˈhɒdʒpɒdʒ/","n.","hodgepodges","大雜燴；混雜物","His report was just a hodgepodge of disconnected facts and figures that didn't make much sense.","hodgepodge of ideas; a real hodgepodge","Social"
"jingoism","/ˈdʒɪŋɡəʊɪzəm/","n.","-","極端的愛國主義；沙文主義","The senator's speech was criticized for its aggressive jingoism and calls for military action.","appeal to jingoism; wave of jingoism","Academic"
"largesse","/lɑːˈʒes/","n.","-","慷慨的施捨；恩賜","The local community center relies heavily on the largesse of a few wealthy donors to stay open.","private largesse; display of largesse","Social"
"luscious","/ˈlʌʃəs/","adj.","lusciously","美味多汁的；（色彩等）濃豔的","The garden was filled with the scent of luscious ripe peaches that were ready to be picked.","luscious fruit; luscious colors","Social"
"mirth","/mɜːrθ/","n.","-","歡笑；歡樂","The room was filled with mirth and laughter as everyone shared their favorite childhood stories.","full of mirth; mirthless laugh","Social"
"odyssey","/ˈɒdəsi/","n.","odysseys","漫長的探索旅程；艱苦的歷程","The refugees' journey across the border was a harrowing odyssey that lasted for several weeks.","spiritual odyssey; epic odyssey","Social"
"palliate","/ˈpælieɪt/","v.","palliated, palliating","緩和（痛苦）；掩飾（罪行）","The new drug's designed to palliate the symptoms of the disease, though it's not a complete cure.","palliate pain; palliate the situation","Academic"
"obliterate","/əˈblɪtəreɪt/","v.","obliterated, obliterating","抹掉；擦掉；徹底摧毀","The heavy snowfall overnight managed to completely obliterate any tracks we'd left yesterday.","obliterate memories; be obliterated","Academic"
"parry","/ˈpæri/","v. / n.","parried, parrying","擋開；迴避（問題）","The politician managed to parry the reporter's difficult questions by changing the subject.","parry a blow; parry a question","Workplace"
"piebald","/ˈpaɪbɔːld/","adj.","-","花斑的；黑白雜色的","The farmer's proud of his new piebald pony, which has striking black and white patches.","piebald horse; piebald pattern","Social"
"piety","/ˈpaɪəti/","n.","pieties","虔誠；孝順","The historical documents reveal the deep religious piety of the people living in the middle ages.","filial piety; act of piety","Academic"
"potable","/ˈpəʊtəbl/","adj.","-","適於飲用的","The aid workers are struggling to provide enough potable water for the thousands of refugees.","potable water; ensure potability","Academic"
"protuberance","/prəˈtjuːbərəns/","n.","protuberances","隆起；結節","The doctor checked the small protuberance on the patient's arm to see if it was a cyst.","bony protuberance; natural protuberance","Academic"
"pusillanimous","/ˌpjuːsɪˈlænɪməs/","adj.","pusillanimously","膽怯的；懦弱的","He was too pusillanimous to stand up for his beliefs when he faced opposition from the group.","pusillanimous behavior; pusillanimous leader","Social"
"quash","/kwɒʃ/","v.","quashed, quashing","鎮壓；撤銷（判決）","The government moved quickly to quash the rebellion before it could spread to other cities.","quash a rumor; quash a conviction","Legal"
"ramification","/ˌræmɪfɪˈkeɪʃn/","n.","ramifications","衍生後果；派生出的影響","We need to carefully consider the potential ramifications of this decision before moving forward.","legal ramifications; far-reaching ramifications","Academic"
"ratify","/ˈrætɪfaɪ/","v.","ratified, ratifying","批准；認可","The treaty must be ratified by all member nations before it can officially come into effect.","ratify an agreement; refuse to ratify","Legal"
"relapse","/rɪˈlæps/","v. / n.","relapsed, relapsing","舊病復發；故態復萌","The patient's doing well now, but the doctors're monitoring him closely in case he suffers a relapse.","suffer a relapse; relapse into old habits","Academic"
"sanguine","/ˈsæŋɡwɪn/","adj.","sanguinely","樂觀的；自信的","Despite the recent setbacks, the CEO remains sanguine about the company's future prospects.","sanguine about success; sanguine personality","Workplace"
"cavalier","/ˌkævəˈlɪər/","adj. / n.","cavalierly","蠻不在乎的；傲慢的","I'm surprised by his cavalier attitude toward such a serious problem that affects so many people.","cavalier treatment; cavalier disregard","Social"
